11:11	华锐风电	2.72/11194	
11:11	名家汇	48.00/1836	
11:11	庞大集团	2.91/5319	
11:11	好当家	4.05/3809	
11:11	华锐风电	2.72/13265	
11:11	庞大集团	2.91/8761	
11:10	彩虹精化	7.99/3569	
11:10	庞大集团	2.91/16030	
11:10	福田汽车	2.81/3177	
11:10	小商品城	7.92/4180	
11:10	江苏阳光	4.48/4687	
11:10	中国远洋	5.25/3058	
11:10	福田汽车	2.81/4237	
11:10	庞大集团	2.91/10537	
11:10	名家汇	48.58/2332	
11:10	福田汽车	2.81/5809	
11:10	庞大集团	2.91/9878	
11:10	宝钢股份	5.50/5608	
11:10	华锐风电	2.71/15028	
11:10	庞大集团	2.91/9696	
11:10	赛轮金宇	4.16/3024	
11:10	福田汽车	2.81/3330	
11:10	福田汽车	2.81/5039	
11:10	华锐风电	2.71/3073	
11:10	庞大集团	2.91/6787	
11:10	郑州煤电	5.56/3379	
11:10	庞大集团	2.91/3481	
11:10	庞大集团	2.91/9737	
11:10	华锐风电	2.70/6302	
11:09	华锐风电	2.70/16253	
11:09	雏鹰农牧	5.38/3142	
11:09	庞大集团	2.90/7925	
11:09	中国一重	5.88/3845	
11:09	华锐风电	2.70/4008	
11:09	庞大集团	2.90/3498	
11:09	爱康科技	4.12/9645	
11:09	福田汽车	2.80/7640	
11:09	华锐风电	2.70/9030	
11:09	福田汽车	2.80/4428	
11:09	海王生物	7.00/9145	
11:09	庞大集团	2.87/58823	
11:09	中国铝业	3.86/4617	
11:09	漳州发展	5.07/3059	
11:09	辉隆股份	9.00/4000	
11:09	庞大集团	2.86/9535	
11:09	园城黄金	17.00/3020	
11:08	海王生物	6.99/6490	
11:08	彩虹精化	7.94/3194	
11:08	庞大集团	2.87/34756	
11:08	福田汽车	2.79/3536	
11:08	福田汽车	2.79/10396	
11:08	彩虹精化	7.92/4929	
11:08	福田汽车	2.79/5760	
11:08	庞大集团	2.88/6213	
11:08	华锐风电	2.70/6386	
11:08	福田汽车	2.78/4528	
11:08	庞大集团	2.87/4689	
11:07	洛阳钼业	3.86/4773	
11:07	福田汽车	2.78/5537	
11:07	福田汽车	2.78/10091	
11:07	庞大集团	2.88/27005	
11:07	庞大集团	2.87/11205	
