代码	名称	涨幅%%	现价	流通市值	流通股本(万)	市盈(动)	细分行业	当日___超大单	5分钟___涨幅%%	换手%%	今开	最高	最低	昨收	活跃度	总金额	量比	涨跌	
600606	绿地控股	-0.76	9.17	        295.58亿	     322336.84	    12.13	全国地产	  -1.27亿	0.00	          2.01	9.25	9.26	9.09	9.24	   2666	594930560	  0.90	-0.07	
600565	迪马股份	0.72	7.03	        103.50亿	     147220.25	    65.32	全国地产	 -121.5万	-0.14	          2.46	7.00	7.12	6.96	6.98	   2424	255744512	  1.55	0.05	
600510	黑牡丹	-0.65	9.11	         72.47亿	      79552.27	    27.01	全国地产	 -387.1万	-0.10	          1.18	9.20	9.29	9.01	9.17	   1895	85983600	  0.80	-0.06	
600393	粤泰股份	0.69	11.65	         34.89亿	      29950.50	   100.73	全国地产	   63.9万	0.00	          0.46	11.57	11.71	11.42	11.57	    615	15907927	  0.49	0.08	
600383	金地集团	-2.20	11.54	        519.40亿	     450084.94	    33.38	全国地产	  -4818万	-0.17	          0.41	11.77	11.83	11.50	11.80	   2296	215391328	  1.05	-0.26	
600240	华业资本	-0.72	11.02	        156.95亿	     142425.34	    23.69	全国地产	  -1023万	-0.09	          0.60	11.10	11.12	10.91	11.10	   1818	94008360	  0.98	-0.08	
600208	新湖中宝	-0.47	4.26	        325.32亿	     763663.38	    59.03	全国地产	 -256.9万	0.00	          0.17	4.27	4.27	4.24	4.28	   1447	56869496	  0.40	-0.02	
600173	卧龙地产	-2.82	8.96	         64.97亿	      72505.74	    66.13	全国地产	  -1641万	0.33	          3.07	9.22	9.28	8.82	9.22	   2041	199029936	  0.62	-0.26	
600162	香江控股	0.47	4.32	         49.75亿	     115171.89	    24.84	全国地产	  -90.9万	0.46	          0.93	4.31	4.33	4.27	4.30	   1220	45896204	  0.76	0.02	
600077	宋都股份	-2.40	6.52	         87.38亿	     134012.23	    41.82	全国地产	  -4072万	0.15	          3.56	6.58	6.77	6.48	6.68	   2418	315890720	  1.10	-0.16	
